Geographic Area Name, Total
"Jasper city, Alabama",4945
"Jemison city, Alabama",850
"Joppa CDP, Alabama",134
"Kennedy town, Alabama",129
"Killen town, Alabama",417
"Kimberly city, Alabama",1700
"Kinsey town, Alabama",413
"Kinston town, Alabama",214
"Ladonia CDP, Alabama",814
"La Fayette city, Alabama",X
"Lake View town, Alabama",1278
"Lanett city, Alabama",940
"Leeds city, Alabama",4902
"Leesburg town, Alabama",330
"Leighton town, Alabama",187
"Leroy CDP, Alabama",223
"Level Plains town, Alabama",609
"Lexington town, Alabama",230
"Lillian CDP, Alabama",X
"Lincoln city, Alabama",2083
"Linden city, Alabama",302
"Lineville city, Alabama",435
"Littleville town, Alabama",X
"Livingston city, Alabama",462
"Lockhart town, Alabama",117
"Locust Fork town, Alabama",478
"Lookout Mountain CDP, Alabama",592
"Louisville town, Alabama",143
"Loxley town, Alabama",1432
"Luverne city, Alabama",651
"Lynn town, Alabama",198
"McCalla CDP, Alabama",3569
"McDonald Chapel CDP, Alabama",X
"McKenzie town, Alabama",X
"Madison city, Alabama",24550
"Magnolia Springs town, Alabama",X
"Malvern town, Alabama",550
"Maplesville town, Alabama",130
"Marbury CDP, Alabama",500
"Margaret town, Alabama",1887
"Marion city, Alabama",253
"Meadowbrook CDP, Alabama",5252
"Mentone town, Alabama",136
"Meridianville CDP, Alabama",2814
"Midfield city, Alabama",184
"Midland City town, Alabama",447
"Mignon CDP, Alabama",277
"Millbrook city, Alabama",5784
"Millerville CDP, Alabama",129
"Millport town, Alabama",253
"Millry town, Alabama",X
"Minor CDP, Alabama",272
"Mobile city, Alabama",40113
"Monroeville city, Alabama",940
"Montevallo city, Alabama",2054
"Montgomery city, Alabama",31593
"Moody city, Alabama",5527
"Moores Mill CDP, Alabama",2335
"Morris town, Alabama",1172
"Moulton city, Alabama",916
"Moundville town, Alabama",503
"Mountain Brook city, Alabama",14371
"Mount Olive CDP (Jefferson County), Alabama",2061
"Mount Vernon town, Alabama",95
"Mulga town, Alabama",220
"Munford town, Alabama",407
"Muscle Shoals city, Alabama",6067
"Nances Creek CDP, Alabama",X
"Napier Field town, Alabama",127
"Nectar town, Alabama",153
"New Brockton town, Alabama",492
"New Hope city, Alabama",1153
"New Market CDP, Alabama",646
"New Site town, Alabama",235
"Newton town, Alabama",540
"New Union CDP, Alabama",309
"Newville town, Alabama",X
"Northport city, Alabama",9745
"Notasulga town, Alabama",215
"Oak Grove town, Alabama",203
"Oakman town, Alabama",X
"Odenville city, Alabama",1976
"Ohatchee town, Alabama",X
"Oneonta city, Alabama",2169
"Opelika city, Alabama",8129
"Opp city, Alabama",1901
"Orange Beach city, Alabama",3828
